goos: linux
goarch: amd64
pkg: github.com/google/cel-go/cel
cpu: Intel(R) Core(TM) Ultra 5 125H
BenchmarkJit_Jit/rule025-18         	12512008	         9.940 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule025-18         	12294639	        10.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule025-18         	12437061	        10.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule026-18         	11937853	        10.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule026-18         	13054844	        11.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule026-18         	12757099	         9.095 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule026-18         	12512318	         9.384 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule026-18         	13285476	        10.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule026-18         	12898119	         8.834 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule026-18         	13027195	         9.064 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule026-18         	12674845	         8.949 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule027-18         	11488671	         9.547 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule027-18         	13031462	         9.669 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule027-18         	11448936	         9.730 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule027-18         	12081300	         9.713 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule027-18         	11456871	         9.495 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule027-18         	12279055	         9.658 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule027-18         	11657970	         9.512 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule027-18         	12686007	         9.463 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule028-18         	12857398	         9.871 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule028-18         	12081470	         9.029 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule028-18         	12335215	         8.874 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule028-18         	13457478	         9.847 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule028-18         	12024500	         8.835 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule028-18         	11459122	        11.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule028-18         	12523990	         9.152 ns/op	       0 B/op	       0 allocs/op
