goos: darwin
goarch: arm64
pkg: github.com/taichimaeda/cel-go/cel
cpu: Apple M4 Max
BenchmarkJit_Interpreter/rule028-16         	 2694070	        43.99 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule028-16         	 2682570	        46.42 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule028-16         	 2759650	        44.11 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule028-16         	 2732100	        45.61 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule028-16         	 2678306	        44.69 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule029-16         	 2736289	        43.81 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule029-16         	 2777428	        44.13 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule029-16         	 2604483	        44.02 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule029-16         	 2785490	        43.74 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule029-16         	 2801348	        43.38 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule029-16         	 2733692	        43.11 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule029-16         	 2774461	        42.95 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule029-16         	 2802160	        43.29 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule030-16         	 2776119	        43.52 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule030-16         	 2702898	        45.19 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule030-16         	 2641142	        44.89 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule030-16         	 2670912	        47.39 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule030-16         	 2592606	        44.40 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule030-16         	 2592346	        45.90 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule030-16         	 2702076	        45.22 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule030-16         	 2671965	        44.99 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule031-16         	 2651942	        44.60 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule031-16         	 2728621	        44.31 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule031-16         	 2776726	        43.92 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule031-16         	 2690300	        44.82 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule031-16         	 2704951	        44.14 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule031-16         	 2772846	        44.20 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule031-16         	 2721008	        44.32 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule031-16         	 2742352	        43.90 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule032-16         	 2772824	        43.29 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule032-16         	 2767202	        43.33 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule032-16         	 2608674	        43.55 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule032-16         	 2763219	        43.57 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule032-16         	 2787380	        43.62 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule032-16         	 2752921	        43.70 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule032-16         	 2752122	        44.83 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule032-16         	 2762072	        43.54 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule033-16         	 2752753	        43.29 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule033-16         	 2752453	        43.99 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule033-16         	 2756710	        44.96 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule033-16         	 2758310	        44.74 ns/op	      16 B/op	       1 allocs/op
