goos: linux
goarch: amd64
pkg: github.com/google/cel-go/cel
cpu: Intel(R) Core(TM) Ultra 5 125H
BenchmarkJit_Interpreter/rule027-18         	 1682936	        74.69 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule027-18         	 1728133	        72.91 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule028-18         	 1429764	        70.68 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule028-18         	 1643844	        78.32 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule028-18         	 1685769	        80.21 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule028-18         	 1794408	        72.46 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule028-18         	 1689760	        65.62 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule028-18         	 1667754	        73.02 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule028-18         	 1717111	        68.43 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule028-18         	 1658526	        70.90 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule029-18         	 1649482	        73.70 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule029-18         	 1695706	        67.51 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule029-18         	 1719837	        71.52 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule029-18         	 1735260	        71.84 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule029-18         	 1630552	        69.78 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule029-18         	 1676643	        71.17 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule029-18         	 1577331	        72.14 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule029-18         	 1679534	        71.95 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule030-18         	 1549761	        69.38 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule030-18         	 1802912	        68.45 ns/op	      16 B/op	       1 allocs/op
